admin_unit_code,pct_women_10yr_schooling,pct_households_with_electricity,capacity_raw,connectivity,source,year
IN-KA-bidar,45.0,98.8,66.52,0.5113,NFHS-5,2021
IN-KA-bijapur,37.1,97.6,61.3,0.4143,NFHS-5,2021
IN-KA-chamrajnagar,41.7,98.7,64.5,0.4738,NFHS-5,2021
IN-KA-chikmagalur,48.3,99.3,68.7,0.5519,NFHS-5,2021
IN-KA-chitradurga,48.3,99.8,68.9,0.5556,NFHS-5,2021
IN-KA-dakshin-kannad,62.8,99.8,77.6,0.7174,NFHS-5,2021
IN-KA-davanagere,47.1,98.8,67.78,0.5348,NFHS-5,2021
IN-KA-dharwad,51.4,99.4,70.6,0.5872,NFHS-5,2021
IN-KA-gadag,45.1,98.6,66.5,0.511,NFHS-5,2021
IN-KA-gulbarga,42.0,99.4,64.96,0.4823,NFHS-5,2021
IN-KA-hassan,51.3,99.3,70.5,0.5853,NFHS-5,2021
IN-KA-haveri,40.0,99.1,63.64,0.4578,NFHS-5,2021
IN-KA-kodagu,58.9,98.7,74.82,0.6657,NFHS-5,2021
IN-KA-kolar,55.0,99.5,72.8,0.6281,NFHS-5,2021
IN-KA-koppal,34.4,99.2,60.32,0.3961,NFHS-5,2021
IN-KA-mandya,52.5,98.4,70.86,0.592,NFHS-5,2021
IN-KA-mysore,49.6,99.5,69.56,0.5679,NFHS-5,2021
IN-KA-raichur,31.7,99.7,58.9,0.3697,NFHS-5,2021
IN-KA-shimoga,49.1,99.5,69.26,0.5623,NFHS-5,2021
IN-KA-tumkur,58.9,99.6,75.18,0.6724,NFHS-5,2021
IN-KA-udupi,55.4,99.6,73.08,0.6333,NFHS-5,2021
IN-KA-uttar-kannand,49.2,99.1,69.16,0.5604,NFHS-5,2021
IN-KL-alappuzha,78.8,99.9,87.24,0.8966,NFHS-5,2021
IN-KL-ernakulam,83.8,100.0,90.28,0.9531,NFHS-5,2021
IN-KL-idukki,73.2,99.0,83.52,0.8274,NFHS-5,2021
IN-KL-kannur,74.1,99.7,84.34,0.8427,NFHS-5,2021
IN-KL-kasaragod,68.3,99.5,80.78,0.7765,NFHS-5,2021
IN-KL-kollam,80.6,99.8,88.28,0.916,NFHS-5,2021
IN-KL-kottayam,85.8,99.6,91.32,0.9725,NFHS-5,2021
IN-KL-kozhikode,84.3,99.6,90.42,0.9557,NFHS-5,2021
IN-KL-malappuram,69.5,99.7,81.58,0.7914,NFHS-5,2021
IN-KL-palakkad,63.2,98.9,77.48,0.7151,NFHS-5,2021
IN-KL-pattanamtitta,84.5,99.6,90.54,0.958,NFHS-5,2021
IN-KL-thiruvananthapuram,83.1,99.9,89.82,0.9446,NFHS-5,2021
IN-KL-thrissur,79.2,100.0,87.52,0.9018,NFHS-5,2021
IN-KL-wayanad,68.0,97.0,79.6,0.7546,NFHS-5,2021
IN-MH-ahmednagar,45.7,94.5,65.22,0.4872,NFHS-5,2021
IN-MH-akola,52.7,97.6,70.66,0.5883,NFHS-5,2021
IN-MH-amravati,55.0,99.1,72.64,0.6251,NFHS-5,2021
IN-MH-aurangabad,48.4,97.0,67.84,0.5359,NFHS-5,2021
IN-MH-bhandara,53.9,98.8,71.86,0.6106,NFHS-5,2021
IN-MH-bid,38.6,94.8,61.08,0.4102,NFHS-5,2021
IN-MH-buldana,41.8,97.1,63.92,0.463,NFHS-5,2021
IN-MH-chandrapur,57.5,98.9,74.06,0.6515,NFHS-5,2021
IN-MH-dhule,40.8,96.0,62.88,0.4437,NFHS-5,2021
IN-MH-gondiya,54.1,98.2,71.74,0.6084,NFHS-5,2021
IN-MH-hingoli,33.2,98.1,59.16,0.3745,NFHS-5,2021
IN-MH-jalgaon,40.8,96.8,63.2,0.4496,NFHS-5,2021
IN-MH-jalna,34.3,95.7,58.86,0.3689,NFHS-5,2021
IN-MH-kolhapur,53.8,98.8,71.8,0.6095,NFHS-5,2021
IN-MH-latur,40.7,97.2,63.3,0.4515,NFHS-5,2021
IN-MH-nagpur,67.6,99.5,80.36,0.7687,NFHS-5,2021
IN-MH-nanded,31.6,96.4,57.52,0.344,NFHS-5,2021
IN-MH-nandurbar,29.9,96.2,56.42,0.3235,NFHS-5,2021
IN-MH-nashik,42.6,95.3,63.68,0.4585,NFHS-5,2021
IN-MH-osmanabad,41.5,96.8,63.62,0.4574,NFHS-5,2021
IN-MH-parbhani,28.8,96.8,56.0,0.3157,NFHS-5,2021
IN-MH-pune,61.2,99.4,76.48,0.6965,NFHS-5,2021
IN-MH-raigarh,45.0,97.9,66.16,0.5046,NFHS-5,2021
IN-MH-ratnagiri,41.2,99.2,64.4,0.4719,NFHS-5,2021
IN-MH-sangli,54.6,98.2,72.04,0.614,NFHS-5,2021
IN-MH-satara,48.3,97.9,68.14,0.5415,NFHS-5,2021
IN-MH-sindhudurg,49.4,99.4,69.4,0.5649,NFHS-5,2021
IN-MH-solapur,36.0,97.1,60.44,0.3983,NFHS-5,2021
IN-MH-thane,55.9,99.3,73.26,0.6367,NFHS-5,2021
IN-MH-wardha,56.5,98.8,73.42,0.6396,NFHS-5,2021
IN-MH-washim,42.0,97.2,64.08,0.466,NFHS-5,2021
IN-MH-yavatmal,38.9,97.2,62.22,0.4314,NFHS-5,2021
IN-ML-east-garo-hills,40.5,97.4,63.26,0.4507,NFHS-5,2021
IN-ML-east-khasi-hills,43.5,96.6,64.74,0.4782,NFHS-5,2021
IN-ML-ri-bhoi,23.1,92.1,50.7,0.2172,NFHS-5,2021
IN-ML-south-garo-hills,38.4,98.6,62.48,0.4362,NFHS-5,2021
IN-ML-west-garo-hills,45.1,94.7,64.94,0.482,NFHS-5,2021
IN-ML-west-khasi-hills,16.4,85.0,43.84,0.0896,NFHS-5,2021
IN-MN-bishnupur,48.7,98.6,68.66,0.5511,NFHS-5,2021
IN-MN-chandel,43.3,99.9,65.94,0.5006,NFHS-5,2021
IN-MN-churachandpur,36.6,94.0,59.56,0.3819,NFHS-5,2021
IN-MN-senapati,39.6,98.8,63.28,0.4511,NFHS-5,2021
IN-MN-tamenglong,33.1,93.6,57.3,0.3399,NFHS-5,2021
IN-MN-thoubal,40.7,98.6,63.86,0.4619,NFHS-5,2021
IN-MN-ukhrul,49.7,95.0,67.82,0.5355,NFHS-5,2021
IN-MP-anuppur,28.6,97.0,55.96,0.315,NFHS-5,2021
IN-MP-ashoknagar,17.6,98.6,50.0,0.2042,NFHS-5,2021
IN-MP-balaghat,39.2,98.7,63.0,0.4459,NFHS-5,2021
IN-MP-barwani,19.3,99.3,51.3,0.2283,NFHS-5,2021
IN-MP-betul,38.7,98.1,62.46,0.4358,NFHS-5,2021
IN-MP-bhind,28.9,98.2,56.62,0.3273,NFHS-5,2021
IN-MP-bhopal,47.4,99.6,68.28,0.5441,NFHS-5,2021
IN-MP-burhanpur,26.3,98.3,55.1,0.299,NFHS-5,2021
IN-MP-chhatarpur,24.7,96.8,53.54,0.27,NFHS-5,2021
IN-MP-chhindwara,40.2,98.9,63.68,0.4585,NFHS-5,2021
IN-MP-damoh,24.8,97.3,53.8,0.2748,NFHS-5,2021
IN-MP-datia,27.8,99.8,56.6,0.3269,NFHS-5,2021
IN-MP-dewas,27.7,99.6,56.46,0.3243,NFHS-5,2021
IN-MP-dhar,23.8,97.6,53.32,0.2659,NFHS-5,2021
IN-MP-dindori,25.8,97.4,54.44,0.2867,NFHS-5,2021
IN-MP-guna,17.7,98.3,49.94,0.203,NFHS-5,2021
IN-MP-gwalior,37.9,99.5,62.54,0.4373,NFHS-5,2021
IN-MP-harda,30.8,98.8,58.0,0.3529,NFHS-5,2021
IN-MP-hoshangabad,35.5,97.2,60.18,0.3935,NFHS-5,2021
IN-MP-indore,47.7,100.0,68.62,0.5504,NFHS-5,2021
IN-MP-jabalpur,30.4,99.7,58.12,0.3552,NFHS-5,2021
IN-MP-jhabua,16.0,98.9,49.16,0.1885,NFHS-5,2021
IN-MP-katni,32.5,97.9,58.66,0.3652,NFHS-5,2021
IN-MP-mandla,30.5,96.8,57.02,0.3347,NFHS-5,2021
IN-MP-mandsaur,24.1,99.9,54.42,0.2864,NFHS-5,2021
IN-MP-morena,25.6,99.5,55.16,0.3001,NFHS-5,2021
IN-MP-neemuch,27.9,99.6,56.58,0.3265,NFHS-5,2021
IN-MP-panna,24.0,95.8,52.72,0.2547,NFHS-5,2021
