admin_unit_code,name,state,admin_level,census_state_code,census_district_code,has_deficit_data,match_method
IN-CT-dhamtari,Dhamtari,Chhattisgarh,level-2,22,13,true,census_code
IN-JH-dhanbad,Dhanbad,Jharkhand,level-2,20,9,true,census_code
IN-MP-dhar,Dhar,Madhya Pradesh,level-2,23,21,true,census_code
IN-TN-dharmapuri,Dharmapuri,Tamil Nadu,level-2,33,29,true,census_code
IN-KA-dharwad,Dharwad,Karnataka,level-2,29,8,true,census_code
IN-RJ-dhaulpur,Dhaulpur,Rajasthan,level-2,8,8,true,census_code
IN-AS-dhemaji,Dhemaji,Assam,level-2,18,9,true,census_code
IN-OR-dhenkanal,Dhenkanal,Odisha,level-2,21,14,true,census_code
IN-AS-dhubri,Dhubri,Assam,level-2,18,2,true,census_code
IN-MH-dhule,Dhule,Maharashtra,level-2,27,2,true,census_code
IN-AR-dibang-valley,Dibang Valley,Arunanchal Pradesh,level-2,12,13,true,census_code
IN-AS-dibrugarh,Dibrugarh,Assam,level-2,18,11,true,census_code
IN-TN-dindigul,Dindigul,Tamil Nadu,level-2,33,11,true,census_code
IN-MP-dindori,Dindori,Madhya Pradesh,level-2,23,36,true,census_code
IN-DH-diu,Diu,Daman & Diu,level-2,25,1,true,census_code
IN-JK-doda,Doda,Jammu & Kashmir,level-2,1,16,true,census_code
IN-GJ-dohad,Dohad,Gujarat,level-2,24,18,true,census_code
IN-JH-dumka,Dumka,Jharkhand,level-2,20,17,true,census_code
IN-RJ-dungarpur,Dungarpur,Rajasthan,level-2,8,26,true,census_code
IN-CT-durg,Durg,Chhattisgarh,level-2,22,10,true,census_code
IN-NL-dimapur,Dimapur,Nagaland,level-2,13,5,true,census_code
IN-DL-east,East,NCT of Delhi,level-2,7,4,true,census_code
IN-SK-east,East,Sikkim,level-2,11,4,true,census_code
IN-ML-east-garo-hills,East Garo Hills,Meghalaya,level-2,17,2,true,census_code
IN-AP-east-godavari,East Godavari,Andhra Pradesh,level-2,28,4,true,exact_state_district
IN-AR-east-kameng,East Kameng,Arunanchal Pradesh,level-2,12,3,true,census_code
IN-ML-east-khasi-hills,East Khasi Hills,Meghalaya,level-2,17,6,true,census_code
IN-MP-east-nimar,East Nimar,Madhya Pradesh,level-2,23,49,true,census_code
IN-AR-east-siang,East Siang,Arunanchal Pradesh,level-2,12,7,true,census_code
IN-KL-ernakulam,Ernakulam,Kerala,level-2,32,8,true,census_code
IN-TN-erode,Erode,Tamil Nadu,level-2,33,9,true,census_code
IN-UP-etah,Etah,Uttar Pradesh,level-2,9,70,true,census_code
IN-UP-etawah,Etawah,Uttar Pradesh,level-2,9,30,true,census_code
IN-UP-faizabad,Faizabad,Uttar Pradesh,level-2,9,46,true,census_code
IN-HR-faridabad,Faridabad,Haryana,level-2,6,20,true,census_code
IN-PB-faridkot,Faridkot,Punjab,level-2,3,11,true,census_code
IN-UP-farrukhabad,Farrukhabad,Uttar Pradesh,level-2,9,28,true,census_code
IN-HR-fatehabad,Fatehabad,Haryana,level-2,6,10,true,census_code
IN-PB-fatehgarh-sahib,Fatehgarh Sahib,Punjab,level-2,3,6,true,census_code
IN-UP-fatehpur,Fatehpur,Uttar Pradesh,level-2,9,41,true,census_code
IN-UP-firozabad,Firozabad,Uttar Pradesh,level-2,9,16,true,census_code
IN-PB-firozpur,Firozpur,Punjab,level-2,3,9,true,census_code
IN-KA-gadag,Gadag,Karnataka,level-2,29,7,true,census_code
IN-OR-gajapati,Gajapati,Odisha,level-2,21,20,true,census_code
IN-JK-ganderbal,Ganderbal,Jammu & Kashmir,level-2,1,11,true,census_code
IN-GJ-gandhinagar,Gandhinagar,Gujarat,level-2,24,6,true,census_code
IN-RJ-ganganagar,Ganganagar,Rajasthan,level-2,8,1,true,census_code
IN-OR-ganjam,Ganjam,Odisha,level-2,21,19,true,census_code
IN-MH-garhchiroli,Garhchiroli,Maharashtra,level-2,27,12,true,census_code
IN-JH-garhwa,Garhwa,Jharkhand,level-2,20,1,true,census_code
IN-UT-garhwal,Garhwal,Uttarakhand,level-2,5,6,true,census_code
IN-UP-gautam-buddha-nagar,Gautam Buddha Nagar,Uttar Pradesh,level-2,9,10,true,census_code
IN-BR-gaya,Gaya,Bihar,level-2,10,34,true,census_code
IN-UP-ghaziabad,Ghaziabad,Uttar Pradesh,level-2,9,9,true,census_code
IN-UP-ghazipur,Ghazipur,Uttar Pradesh,level-2,9,64,true,census_code
IN-JH-giridih,Giridih,Jharkhand,level-2,20,4,true,census_code
IN-AS-goalpara,Goalpara,Assam,level-2,18,3,true,census_code
IN-JH-godda,Godda,Jharkhand,level-2,20,6,true,census_code
IN-AS-golaghat,Golaghat,Assam,level-2,18,14,true,census_code
IN-UP-gonda,Gonda,Uttar Pradesh,level-2,9,52,true,census_code
IN-MH-gondiya,Gondiya,Maharashtra,level-2,27,11,true,census_code
IN-BR-gopalganj,Gopalganj,Bihar,level-2,10,15,true,census_code
IN-UP-gorakhpur,Gorakhpur,Uttar Pradesh,level-2,9,57,true,census_code
IN-KA-gulbarga,Gulbarga,Karnataka,level-2,29,25,true,census_code
IN-JH-gumla,Gumla,Jharkhand,level-2,20,21,true,census_code
IN-MP-guna,Guna,Madhya Pradesh,level-2,23,41,true,census_code
IN-AP-guntur,Guntur,Andhra Pradesh,level-2,28,7,true,exact_state_district
IN-PB-gurdaspur,Gurdaspur,Punjab,level-2,3,1,true,census_code
IN-HR-gurgaon,Gurgaon,Haryana,level-2,6,18,true,census_code
IN-MP-gwalior,Gwalior,Madhya Pradesh,level-2,23,4,true,census_code
IN-AS-hailakandi,Hailakandi,Assam,level-2,18,19,true,census_code
IN-HP-hamirpur,Hamirpur,Himachal Pradesh,level-2,2,6,true,census_code
IN-UP-hamirpur,Hamirpur,Uttar Pradesh,level-2,9,37,true,census_code
IN-RJ-hanumangarh,Hanumangarh,Rajasthan,level-2,8,2,true,census_code
IN-WB-haora,Haora,West Bengal,level-2,19,15,true,census_code
IN-MP-harda,Harda,Madhya Pradesh,level-2,23,31,true,census_code
