admin_unit_code,sector,indicator_key,indicator_label,coverage_pct,deficit_pct,source,year
IN-AS-goalpara,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,75.3,24.7,NFHS-5,2021
IN-AS-goalpara,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,90.7,9.3,NFHS-5,2021
IN-AS-goalpara,electricity,pct_households_no_electricity,Households without an electricity connection,89.6,10.4,NFHS-5,2021
IN-AS-golaghat,health,pct_births_non_institutional,Births not delivered in a health facility,90.4,9.6,NFHS-5,2021
IN-AS-golaghat,education,pct_females_never_attended_school,Females age 6+ who never attended school,77.6,22.4,NFHS-5,2021
IN-AS-golaghat,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,73.1,26.9,NFHS-5,2021
IN-AS-golaghat,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,93.7,6.3,NFHS-5,2021
IN-AS-golaghat,electricity,pct_households_no_electricity,Households without an electricity connection,96.4,3.6,NFHS-5,2021
IN-AS-hailakandi,health,pct_births_non_institutional,Births not delivered in a health facility,83.0,17.0,NFHS-5,2021
IN-AS-hailakandi,education,pct_females_never_attended_school,Females age 6+ who never attended school,81.5,18.5,NFHS-5,2021
IN-AS-hailakandi,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,60.0,40.0,NFHS-5,2021
IN-AS-hailakandi,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,41.2,58.8,NFHS-5,2021
IN-AS-hailakandi,electricity,pct_households_no_electricity,Households without an electricity connection,91.2,8.8,NFHS-5,2021
IN-AS-jorhat,health,pct_births_non_institutional,Births not delivered in a health facility,96.5,3.5,NFHS-5,2021
IN-AS-jorhat,education,pct_females_never_attended_school,Females age 6+ who never attended school,84.4,15.6,NFHS-5,2021
IN-AS-jorhat,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,80.4,19.6,NFHS-5,2021
IN-AS-jorhat,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,85.9,14.1,NFHS-5,2021
IN-AS-jorhat,electricity,pct_households_no_electricity,Households without an electricity connection,95.1,4.9,NFHS-5,2021
IN-AS-kamrup,health,pct_births_non_institutional,Births not delivered in a health facility,85.0,15.0,NFHS-5,2021
IN-AS-kamrup,education,pct_females_never_attended_school,Females age 6+ who never attended school,79.4,20.6,NFHS-5,2021
IN-AS-kamrup,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,68.7,31.3,NFHS-5,2021
IN-AS-kamrup,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,92.1,7.9,NFHS-5,2021
IN-AS-kamrup,electricity,pct_households_no_electricity,Households without an electricity connection,94.8,5.2,NFHS-5,2021
IN-AS-karbi-anglong,health,pct_births_non_institutional,Births not delivered in a health facility,74.9,25.1,NFHS-5,2021
IN-AS-karbi-anglong,education,pct_females_never_attended_school,Females age 6+ who never attended school,76.4,23.6,NFHS-5,2021
IN-AS-karbi-anglong,water_sanitation,pct_households_no_improved_sanitation,Households without an improved sanitation facility,75.2,24.8,NFHS-5,2021
IN-AS-karbi-anglong,water_sanitation,pct_households_no_improved_water,Households without an improved drinking water source,79.6,20.4,NFHS-5,2021
IN-AS-karbi-anglong,electricity,pct_households_no_electricity,Households without an electricity connection,97.0,3.0,NFHS-5,2021
IN-AS-karimganj,health,pct_births_non_institutional,Births not delivered in a health facility,76.4,23.6,NFHS-5,2021
